7368,1,0987623874,hue,170000.0,Nguyên,2023-01-02T08:41:57.368974200Z
4552,1,0987634872,hue,170000.0,Nhật,2023-01-02T08:47:34.552351800Z
1440,1,0987623867,hue,1270000.0,Hải,2023-01-02T08:50:21.440951100Z
39520,1,0123654862,huế,1500000.0,nhat,2023-05-17T04:58:59.520172200Z
96952,2,0123547895,hà nội,1500000.0,phuoc,2023-05-17T06:38:16.952656500Z
22817,1684245191,0123547852,Sài Gòn,1400000.0,Phước Dương,2023-05-17T06:45:22.817382800Z
48935,95673,0235614785,Đà nẵng,2500000.0,Duy Long,2023-05-17T07:47:28.935884300Z
84881,95673,0123564785,Hà nội,1150000.0,Tiến Đạt,2023-05-17T07:53:04.881099500Z
7229,1684246501,0123561458,đà nẵng,1600000.0,Hoàng Nguyên,2023-05-17T07:55:07.229212900Z
850,2,0125478632,hà nội,1700000.0,nhan,2023-01-13T02:40:40.850664100Z
3235,2,0236512587,sài gòn,800000.0,Dương phước,2023-05-17T08:51:43.235493700Z
72204,1,0123525614,Huế,800000.0,Hông Nhung,2023-05-17T09:27:52.205860300Z
5446,1,0125469852,Huế,1400000.0,Đăng huy,2023-05-17T12:45:05.446369700Z
45356,1,0123654789,Đà nẵng,500000.0,Nhất Duy,2023-05-17T08:34:05.357647300Z
68635,2,0123561254,Sài gòn,1000000.0,Thành nhân,2023-05-18T01:39:28.636087500Z
65546,2,0231562158,Huế,800000.0,Phước dương,2023-05-17T12:47:45.546464900Z
39533,2,0132561459,Huế,200000.0,Quang Đặng,2023-05-18T06:47:19.533798900Z
33069,1684246501,0125478523,Huế,200000.0,Duy Long,2023-05-17T09:35:33.069248Z
4610,1,0231523654,Huế,600000.0,Huy đăng,2023-05-18T07:16:44.610401900Z
31178,1,0123652156,Huế,1500000.0,Nhật anh,2023-05-18T07:42:11.179397700Z
45706,1,0236514569,Đà nẵng,1500000.0,Phước dương,2023-05-18T07:44:05.706389100Z
61016,2,0123654789,Huế,600000.0,Minh nhật,2023-05-18T07:49:21.016872Z
85984,1684245191,0231456987,Huế,2200000.0,Nguyên hoàng,2023-05-18T07:58:05.984979Z
27140,2,0123568745,Huế,1400000.0,Hoàng hải,2023-05-18T08:10:27.140273600Z
59995,1684245191,0123654895,Đà nẵng,600000.0,Nguyên hoàng,2023-05-18T08:22:39.995587800Z
99456,1,0123456788,hà nội,1800000.0,Cảnh trường,2023-05-18T11:51:39.456943300Z
64010,2,0125468952,đà nẵng,1700000.0,Phương long,2023-05-18T12:04:24.010470200Z
30546,2,0123456952,hế,1650000.0,Phước Dương,2023-05-18T12:20:30.546072900Z
